"lgID", "tmID", "name"
"NBA","CHS","Chicago Stags"
"NBA","CLR","Cleveland Rebels"
"NBA","DTF","Detroit Falcons"
"NBA","NYK","New York Knicks"
"NBA","PHW","Philadelphia Warriors"
"NBA","PIT","Pittsburgh Ironmen"
"NBA","PRO","Providence Steamrollers"
"NBA","STB","St. Louis Bombers"
"NBA","TRH","Toronto Huskies"
"NBA","WSC","Washington Capitols"
"NBA","BLB","Baltimore Bullets"
"NBA","FTW","Fort Wayne Pistons"
"NBA","INJ","Indianapolis Jets"
"NBA","MNL","Minneapolis Lakers"
"NBA","ROC","Rochester Royals"
"NBA","AND","Anderson Packers"
"NBA","DNN","Denver Nuggets"
"NBA","INO","Indianapolis Olympians"
"NBA","SHE","Sheboygan Redskins"
"NBA","SYR","Syracuse Nationals"
"NBA","TRI","Tri-Cities Blackhawks"
"NBA","WAT","Waterloo Hawks"
"NBA","MLH","Milwaukee Hawks"
"NBA","STL","St. Louis Hawks"
"NBA","CIN","Cincinnati Royals"
"NBA","DET","Detroit Pistons"
"NBA","LAL","Los Angeles Lakers"
"NBA","CHP","Chicago Packers"
"NBA","CHZ","Chicago Zephyrs"
"NBA","SFW","San Francisco Warriors"
"NBA","BAL","Baltimore Bullets"
"NBA","PHI","Philadelphia 76ers"
"NBA","CHI","Chicago Bulls"
"ABA","ANA","Anaheim Amigos"
"ABA","DLC","Dallas Chaparrals"
"ABA","DNR","Denver Rockets"
"ABA","HSM","Houston Mavericks"
"ABA","INA","Indiana Pacers"
"ABA","KEN","Kentucky Colonels"
"ABA","MNM","Minnesota Muskies"
"ABA","NJA","New Jersey Americans"
"ABA","NOB","New Orleans Buccaneers"
"ABA","OAK","Oakland Oaks"
"ABA","PTP","Pittsburgh Pipers"
"NBA","SDR","San Diego Rockets"
"NBA","SEA","Seattle Supersonics"
"ABA","LAS","Los Angeles Stars"
"ABA","MMF","Miami Floridians"
"ABA","MNP","Minnesota Pipers"
"ABA","NYA","New York Nets"
"NBA","ATL","Atlanta Hawks"
"NBA","MIL","Milwaukee Bucks"
"NBA","PHO","Phoenix Suns"
"ABA","CAR","Carolina Cougars"
"ABA","WSA","Washington Capitols"
"ABA","FLO","The Floridians"
"ABA","MMP","Memphis Pros"
"ABA","PTC","Pittsburgh Condors"
"ABA","TEX","Texas Chaparrals"
"ABA","UTS","Utah Stars"
"ABA","VIR","Virginia Squires"
"NBA","BUF","Buffalo Braves"
"NBA","CLE","Cleveland Cavaliers"
"NBA","POR","Portland Trail Blazers"
"NBA","GSW","Golden State Warriors"
"NBA","HOU","Houston Rockets"
"ABA","MMT","Memphis Tams"
"ABA","SDA","San Diego Conquistadors"
"NBA","KCO","KC-Omaha Kings"
"ABA","SAA","San Antonio Spurs"
"NBA","CAP","Capital Bullets"
"ABA","DNA","Denver Nuggets"
"ABA","MMS","Memphis Sounds"
